rule_id,priority,active,decision,confidence,issue,match_columns,include_regex,exclude_regex,legal_basis,rule_description,follow_up_question,source_url,rule_version
R010_SUPPLIER_NAME_MISMATCH,10,Y,추가검토,높음,명의와 실질 거래주체 판단,계정과목|품목이름|적요,"명의.{0,30}실운영자|실운영자.{0,30}명의|제3자\s*명의|가족\s*명의|배우자.{0,20}실제\s*운영|명의상\s*대표.{0,20}실제\s*운영|사업자등록.{0,30}(상이|다르)",,부가가치세법 제39조 제1항 제2호,세금계산서 명의와 실제 공급자의 일치 여부는 구체적 거래 사실을 확인해야 함,계약·발주·납품·대금수령 주체와 명의자의 실제 관여를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,2026-08-13
R020_NO_QUALIFIED_EVIDENCE,20,Y,불공제 가능,높음,적격증빙 미수취,전표유형|적요,"(세금계산서|신용카드매출전표|현금영수증).{0,15}(미수취|없음|미발급)|증빙\s*(없음|미비)",,부가가치세법 제39조 제1항 제1호·제2호,적격증빙이 없거나 필요적 기재사항이 사실과 다르면 원칙적으로 불공제,세금계산서·카드전표·현금영수증과 필요적 기재사항을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,2026-08-13
R030_PRIVATE_OR_HOME_USE,30,Y,불공제 가능,높음,사업과 직접 관련 없는 개인·가사 지출,계정과목|품목이름|적요,"대표(이사)?\s*(개인|자택)|개인주거지|가사용|사적\s*사용|개인용(품)?",,부가가치세법 제39조 제1항 제4호·시행령 제77조,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,2026-08-13
R040_BUSINESS_PROMOTION,40,Y,불공제 가능,높음,기업업무추진비·접대성 지출,계정과목|품목이름|적요,"기업업무추진비|접대\s*목적|거래처.{0,20}(선물|골프|식사)|골프장|관계유지.{0,10}골프",,부가가치세법 제39조 제1항 제6호·시행령 제79조,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,2026-08-13
R050_SMALL_PASSENGER_CAR,50,Y,불공제 가능,높음,비영업용 소형승용자동차 관련,계정과목|품목이름|적요,"승용차.{0,20}(렌트|임차|유류|주유|수리|유지|엔진오일)|승용차(렌트|유류|수리)|(5인승|[12],?\d{3}cc).{0,15}승용차",택시|버스|화물|트럭|자동차판매|운수업|렌터카업,부가가치세법 제39조 제1항 제5호·시행령 제78조,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,2026-08-13
R060_EXEMPT_BUSINESS,60,Y,불공제 가능,높음,면세사업 관련 매입세액,계정과목|품목이름|적요,"면세사업|면세\s*매출.{0,20}(관련|귀속)",공통매입|안분,부가가치세법 제39조 제1항 제7호,면세사업에 직접 귀속되는 매입세액은 불공제,과세·면세사업 겸영 여부와 공통매입 안분 필요성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,2026-08-13
R070_LAND_CAPITAL_EXPENDITURE,70,Y,불공제 가능,높음,토지 관련 자본적 지출,계정과목|품목이름|적요,"(토지|부지).{0,30}(취득|형질변경|조성|가치\s*(증가|상승)|취득원가)",아님|아니,부가가치세법 제39조 제1항 제7호·시행령 제80조,토지 취득·형질변경·조성 또는 토지가치를 증가시키는 비용은 불공제,용역 결과가 토지가치 증가인지 건축물·과세사업 수행을 위한 것인지 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제80조,2026-08-13
R080_PRE_REGISTRATION,80,Y,추가검토,높음,사업자등록 전 매입세액,전표유형|적요,"사업자등록.{0,15}(전|신청\s*전)",,부가가치세법 제39조 제1항 제8호,등록 전 매입은 원칙 불공제이나 등록신청 시기에 따른 예외가 있어 기간 확인 필요,공급시기·과세기간·사업자등록 신청일을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,2026-08-13
R090_SUPPLIER_TAX_STATUS,90,Y,추가검토,중간,공급자 과세유형 확인,전표유형|적요,"간이과세자|면세사업자|과세유형\s*미확인",,부가가치세법 제39조 및 적격증빙 규정,공급자 과세유형과 실제 발급 증빙에 따라 공제 여부가 달라질 수 있음,공급자 사업자번호·과세유형과 발급받은 증빙을 확인하세요.,https://www.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7799&mi=2475,2026-08-13
R100_AMBIGUOUS_VEHICLE,100,Y,추가검토,높음,차종·용도 확인 필요,계정과목|품목이름|적요,"(차종|차량번호).{0,10}미기재|(차량|주유|유류).{0,30}(차종|차량번호).{0,10}미기재",,부가가치세법 제39조 제1항 제5호,차량비는 차종과 직접 영업 사용 여부가 없으면 불공제 여부를 판정할 수 없음,차종·정원·배기량·차량번호·업무용도를 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,2026-08-13
