전표번호,전표유형,계정과목,품목이름,금액,적요
18260102-1,과세매입,지급수수료,자문료,"986,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260102-2,과세매입,비품,노트북,"4,447,000",품질관리팀 검사데이터 분석용 노트북 구입
18260102-3,과세매입,원자재,철판,"966,000",A라인 생산용 SS400 철판 원재료 매입
18260102-4,과세매입,통신비,법인휴대폰,"6,796,000",영업팀 법인명의 업무용 휴대전화 요금
18260103-1,과세매입,운반비,화물운송,"728,000",완제품 거래처 납품용 5톤 화물운송
18260103-2,과세매입,임차료,승용차렌트,"1,817,000",영업관리용 5인승 승용차 월 렌트료
18260103-3,과세매입,복리후생비,개인용품,"1,194,000",대표이사 자택 사용 가전제품 구매
18260103-4,과세매입,복리후생비,개인용품,"378,000",대표이사 자택 사용 가전제품 구매
18260104-1,과세매입,수선비,시설수리,"1,355,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260104-2,과세매입,지급수수료,기업인수 실사,"24,000,000",과세 제조사업 확장을 위해 인접 생산부지 대부분을 보유한 법인 지분 인수가 필요하여 재무·법률 실사 진행
18260104-3,과세매입,소모품비,전자기기,"166,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260104-4,과세매입,소모품비,전자기기,"3,829,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260105-1,과세매입,운반비,화물운송,"5,036,000",완제품 거래처 납품용 5톤 화물운송
18260105-2,과세매입,기업업무추진비,거래처선물,"2,458,000",거래처 대표 명절 선물세트 제공
18260105-3,과세매입,수선비,설비수리,"981,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260105-4,과세매입,교육훈련비,안전교육,"4,008,000",생산팀 산업안전·설비조작 교육비
18260106-1,과세매입,부재료비,용접봉,"1,995,000",생산공정 용접작업용 용접봉 구매
18260106-2,과세매입,원자재,철판,"8,837,000",A라인 생산용 SS400 철판 원재료 매입
18260106-3,과세매입,원자재,베어링,"1,108,000",감속기 조립용 베어링 생산자재 매입
18260106-4,과세매입,지급수수료,금융자문,"22,400,000",신규 공장증설 사업 추진에 필요한 대상회사 인수자금 조달 및 금융자문 수수료
18260107-1,과세매입,연구개발비,시제품재료,"2,893,000",신형 펌프 시제품 제작용 테스트 재료비
18260107-2,과세매입,비품,노트북,"2,980,000",품질관리팀 검사데이터 분석용 노트북 구입
18260107-3,과세매입,복리후생비(생산),생산직원식대,"2,207,000",야간 잔업 생산직원 식대 18명
18260107-4,과세매입,운반비,화물운송,"1,073,000",완제품 거래처 납품용 5톤 화물운송
18260108-1,과세매입,차량유지비,승용차유류,"1,861,000","대표이사 업무용 2,000cc 승용차 주유"
18260108-2,과세매입,임차료,승용차렌트,"319,000",영업관리용 5인승 승용차 월 렌트료
18260108-3,과세매입,기업업무추진비,거래처식사,"749,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260108-4,과세매입,차량유지비,유류비,"1,784,000",현장 방문 차량 주유 - 차종 및 차량번호 미기재
18260109-1,과세매입,지급수수료,회계감사,"575,000",외부감사 대응 재고실사 및 회계자문 수수료
18260109-2,과세매입,지급수수료,인수자문,"21,200,000",생산단지 조성사업 시행을 위해 토지 다수 보유 법인 주식인수 협상·실사 자문
18260109-3,과세매입,지급수수료,자문료,"2,064,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260109-4,과세매입,지급수수료,회계감사,"4,044,000",외부감사 대응 재고실사 및 회계자문 수수료
18260110-1,과세매입,임차료,승용차렌트,"850,000",영업관리용 5인승 승용차 월 렌트료
18260110-2,과세매입,부재료비,용접봉,"1,849,000",생산공정 용접작업용 용접봉 구매
18260110-3,과세매입,복리후생비(관리),직원간식,"7,138,000",사무실 전 직원 공용 간식 및 생수 구매
18260110-4,과세매입,원자재,베어링,"5,657,000",감속기 조립용 베어링 생산자재 매입
18260111-1,과세매입,운반비,화물운송,"4,690,000",완제품 거래처 납품용 5톤 화물운송
18260111-2,과세매입,부재료비,용접봉,"6,281,000",생산공정 용접작업용 용접봉 구매
18260111-3,과세매입,임차료,승용차렌트,"1,253,000",영업관리용 5인승 승용차 월 렌트료
18260111-4,과세매입,지급수수료,가치평가,"24,400,000",과세사업 확대에 필요한 사업시행권 보유 법인 인수 전 가치평가 및 재무실사
18260112-1,과세매입,광고선전비,제품카탈로그,"8,634,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260112-2,과세매입,교육훈련비,안전교육,"37,000",생산팀 산업안전·설비조작 교육비
18260112-3,과세매입,임차료,공장창고,"1,514,000",원재료 보관용 외부 창고 월 임차료
18260112-4,과세매입,복리후생비,개인용품,"2,348,000",대표이사 자택 사용 가전제품 구매
18260113-1,과세매입,기업업무추진비,거래처선물,"649,000",거래처 대표 명절 선물세트 제공
18260113-2,과세매입,임차료,승용차렌트,"2,365,000",영업관리용 5인승 승용차 월 렌트료
18260113-3,과세매입,지급수수료,자문료,"1,932,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260113-4,과세매입,부재료비,용접봉,"2,835,000",생산공정 용접작업용 용접봉 구매
18260114-1,과세매입,소모품비,전자기기,"3,271,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260114-2,과세매입,지급수수료,사업시행 자문,"15,100,000","공장 이전·확장 사업 승인신청 및 사업시행을 위한 인허가·업무대행 자문, 토지가치 증가 목적 아님"
18260114-3,과세매입,교육훈련비,안전교육,"5,893,000",생산팀 산업안전·설비조작 교육비
18260114-4,과세매입,차량유지비,승용차수리,"2,221,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
