검토상태,전표번호,전표유형,계정과목,품목이름,금액,적요,1차판정,판정신뢰도,적용규칙ID,핵심쟁점,판정사유,법령근거,추가확인사항,근거URL,매칭문구,규칙버전
프로토타입 1차 스크리닝,18260102-1,과세매입,지급수수료,자문료,986000,외부 컨설팅 수수료 - 프로젝트명 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 자문료 | 외부 컨설팅 수수료 - 프로젝트명 미기재,2026-08-13
프로토타입 1차 스크리닝,18260102-2,과세매입,비품,노트북,4447000,품질관리팀 검사데이터 분석용 노트북 구입,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,비품 | 노트북 | 품질관리팀 검사데이터 분석용 노트북 구입,2026-08-13
프로토타입 1차 스크리닝,18260102-3,과세매입,원자재,철판,966000,A라인 생산용 SS400 철판 원재료 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 철판 | A라인 생산용 SS400 철판 원재료 매입,2026-08-13
프로토타입 1차 스크리닝,18260102-4,과세매입,통신비,법인휴대폰,6796000,영업팀 법인명의 업무용 휴대전화 요금,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,통신비 | 법인휴대폰 | 영업팀 법인명의 업무용 휴대전화 요금,2026-08-13
프로토타입 1차 스크리닝,18260103-1,과세매입,운반비,화물운송,728000,완제품 거래처 납품용 5톤 화물운송,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,운반비 | 화물운송 | 완제품 거래처 납품용 5톤 화물운송,2026-08-13
프로토타입 1차 스크리닝,18260103-2,과세매입,임차료,승용차렌트,1817000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260103-3,과세매입,복리후생비,개인용품,1194000,대표이사 자택 사용 가전제품 구매,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,복리후생비 | 개인용품 | 대표이사 자택 사용 가전제품 구매,2026-08-13
프로토타입 1차 스크리닝,18260103-4,과세매입,복리후생비,개인용품,378000,대표이사 자택 사용 가전제품 구매,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,복리후생비 | 개인용품 | 대표이사 자택 사용 가전제품 구매,2026-08-13
프로토타입 1차 스크리닝,18260104-1,과세매입,수선비,시설수리,1355000,건물 시설 수리비 - 사업장/사택 구분 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,수선비 | 시설수리 | 건물 시설 수리비 - 사업장/사택 구분 미기재,2026-08-13
프로토타입 1차 스크리닝,18260104-2,과세매입,지급수수료,기업인수 실사,24000000,과세 제조사업 확장을 위해 인접 생산부지 대부분을 보유한 법인 지분 인수가 필요하여 재무·법률 실사 진행,공제 가능,중간,R120_BUSINESS_EXPANSION_SERVICE,과세사업 수행을 위한 인수·실사·자문,구체적 사업 수행에 필요하고 토지 자체의 가치 증가 비용이 아닌 용역은 공제 가능,부가가치세법 제38조 제1항·대법원 2010두15902·2010두12552,계약서·자문 산출물·사업계획·대금지급 증빙을 보관하세요.,https://law.go.kr/LSW/precInfoP.do?precSeq=171788,지급수수료 | 기업인수 실사 | 과세 제조사업 확장을 위해 인접 생산부지 대부분을 보유한 법인 지분 인수가 필요하여 재무·법률 실사 진행,2026-08-13
